processed_text	POStags	proba	original_text
#BREAKING - Hostage taken at kosher shop in #Paris by ‘ suspect in police officer shooting ' https://t.co/4yt6nafpIg http://t.co/f9N8Bjn68I	# , N V P A N P ^ P , V P N N V , U U	0.5690 0.9133 0.7839 0.9879 0.9907 0.9135 0.9987 0.9958 0.6526 0.9809 0.8793 0.4859 0.9864 0.8281 0.9831 0.7861 0.9396 0.9775 0.9992	#BREAKING - Hostage taken at kosher shop in #Paris by ‘suspect in police officer shooting' https://t.co/4yt6nafpIg http://t.co/f9N8Bjn68I               
Three gunmen who shot dead 12 people at the HQ of #CharlieHebdo are still on the run in Paris , police say . https://t.co/3QkWHN0kgy	$ N O V A $ N P D N P ^ V R P D N P ^ , N V , U	0.9442 0.9832 0.9051 0.5547 0.9644 0.9959 0.9997 0.9999 0.9991 0.8835 0.9949 0.9138 0.9892 0.9852 0.9875 0.9935 0.6795 0.9955 0.9978 0.9939 0.7497 0.7965 0.9925 0.9949	Three gunmen who shot dead 12 people at the HQ of #CharlieHebdo are still on the run in Paris, police say. https://t.co/3QkWHN0kgy                      
BREAKING : French police tell AP suspects in #CharlieHebdo attack have taken a hostage northeast of Paris .	N , ^ N V ^ V P ^ V V V D N N P ^ ,	0.6086 0.9690 0.9052 0.6534 0.8863 0.8718 0.9572 0.8953 0.8948 0.6738 0.9955 0.9965 0.9982 0.9932 0.6392 0.9978 0.9991 0.9969	BREAKING: French police tell AP suspects in #CharlieHebdo attack have taken a hostage northeast of Paris.                                               
Paris police : 10 dead , 5 injured at #CharlieHebdo shooting	^ N , $ A , $ V P ^ V	0.9959 0.8856 0.7281 0.9950 0.9425 0.9946 0.9862 0.7679 0.9930 0.9062 0.8107	Paris police: 10 dead, 5 injured at #CharlieHebdo shooting                                                                                              
MORE : Police surround kosher grocery store in eastern Paris where armed man is holding hostage http://t.co/cI8cztQjE6 http://t.co/BAwGOO5Wn3	A , N V A N N P ^ ^ R A N V V N U U	0.6268 0.9681 0.4974 0.9898 0.9896 0.9611 0.9627 0.9899 0.6768 0.9997 0.9890 0.9820 0.9985 0.9972 0.9577 0.9935 0.9948 0.9991	MORE: Police surround kosher grocery store in eastern Paris where armed man is holding hostage http://t.co/cI8cztQjE6 http://t.co/BAwGOO5Wn3            
BREAKING : Police official : Suspects in Charlie Hebdo massacre killed , hostage freed .	N , ^ N , V P ^ ^ N V , N V ,	0.6086 0.9637 0.6546 0.7195 0.9733 0.8725 0.9339 0.9993 0.9948 0.7652 0.9836 0.9962 0.9611 0.8569 0.9981	BREAKING: Police official: Suspects in Charlie Hebdo massacre killed, hostage freed.                                                                    
Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT	^ ^ N V $ A N V ^ & N N U U	0.9964 0.9856 0.8496 0.9929 0.8206 0.9827 0.9979 0.9966 0.8382 0.9981 0.4961 0.9478 0.9952 0.9994	Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT                 
Most compelling image I've seen to come out of horrifying events in Paris , courtesy of Banksy . #JeSuisCharlie http://t.co/EKBfbRR3HT	R A N L V P V P P A N P ^ , N P ^ , # U	0.6209 0.8759 0.9984 0.9801 0.9975 0.9900 0.9998 0.7519 0.9411 0.9899 0.9977 0.9988 0.9978 0.9941 0.9852 0.9989 0.9779 0.9966 0.8967 0.9983	Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT                    
A person living near the #Dammartin hostage scene sent us these photos #CharlieHebdo #obs http://t.co/FKHD1fGt03	D N V P D ^ N N V O D N # # U	0.9915 0.9923 0.9965 0.9967 0.9949 0.8774 0.7056 0.9923 0.9993 0.9038 0.9907 0.9977 0.7083 0.9145 0.9979	A person living near the #Dammartin hostage scene sent us these photos #CharlieHebdo #obs http://t.co/FKHD1fGt03                                        
BREAKING : 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ	N , $ R V A P ^ N P ^ A ^ ^ U	0.6086 0.9407 0.9929 0.9738 0.5061 0.8431 0.9997 0.9993 0.7725 0.9934 0.9373 0.8467 0.9958 0.9895 0.9979	BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ                                                     
Nine journalists and two police officers killed in #CharlieHebdo attack , police spokesman confirms http://t.co/KtQOYWXKev	A N & $ N N V P ^ V , N N V U	0.4342 0.9980 0.9972 0.9722 0.7251 0.7073 0.9980 0.8914 0.8948 0.4836 0.9972 0.7187 0.9919 0.9682 0.9963	Nine journalists and two police officers killed in #CharlieHebdo attack, police spokesman confirms http://t.co/KtQOYWXKev                               
Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop . A cry of ' Allahou Akbar ' followed by shots http://t.co/G3rHLmAFtH …	V N R P ^ N V P N , D N P , ^ ^ , V P N U ,	0.9869 0.9951 0.9949 0.9815 0.8525 0.8344 0.9989 0.9972 0.9128 0.9984 0.9327 0.9915 0.9901 0.9637 0.6295 0.9025 0.9634 0.9752 0.9918 0.9317 0.9951 0.6902	Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop. A cry of 'Allahou Akbar' followed by shots http://t.co/G3rHLmAFtH …            
#CharlieHebdo witness - Gunmen told me to tell the media they were Al-Qaeda in Yemen http://t.co/AyDSKynXG2 h/t @chawk228	# N , N V O P V D N O V ^ P ^ U P @	0.8730 0.8268 0.9177 0.8611 0.9998 0.9986 0.9843 0.9993 0.9988 0.9650 0.9735 0.9978 0.8859 0.9918 0.9995 0.9960 0.4630 0.9976	#CharlieHebdo witness - Gunmen told me to tell the media they were Al-Qaeda in Yemen http://t.co/AyDSKynXG2 h/t @chawk228                               
UPDATE : Gunman in kosher grocery store is demanding the release of the suspects in #CharlieHebdo shooting - Reports http://t.co/1Y123fisl2	N , N P A N N V V D N P D N P ^ V , N U	0.9721 0.9666 0.9073 0.9929 0.9810 0.9611 0.9942 0.9979 0.9972 0.9997 0.9990 0.9995 0.9910 0.9136 0.9894 0.7902 0.8875 0.8911 0.9165 0.9975	UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in #CharlieHebdo shooting - Reports http://t.co/1Y123fisl2              
AFP reporting at least five hostages have been taken at kosher shop in Paris - live http://t.co/hRxscrV6yW #CharlieHebdo	^ V P A $ N V V V P A N P ^ , V U #	0.5804 0.9899 0.9831 0.9889 0.6312 0.9985 0.9977 0.9703 0.9988 0.9907 0.9135 0.9987 0.9986 0.9977 0.9078 0.5328 0.9968 0.9768	AFP reporting at least five hostages have been taken at kosher shop in Paris - live http://t.co/hRxscrV6yW #CharlieHebdo                                
BREAKING : Paris : 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq	N , ^ , $ A P N P A N P V N P ^ U # U	0.6086 0.9524 0.9961 0.8987 0.9950 0.8957 0.9808 0.9222 0.9850 0.9444 0.9976 0.7895 0.9663 0.7797 0.9994 0.9999 0.9969 0.9396 0.9973	BREAKING: Paris: 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq            
#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports http://t.co/4wugwxfVjj http://t.co/SblgDDXGiD	# A N ^ & ^ N A V P N U U	0.8040 0.9987 0.9990 0.3171 0.9985 0.8910 0.8828 0.6625 0.9691 0.9916 0.7723 0.9951 0.9990	#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports http://t.co/4wugwxfVjj http://t.co/SblgDDXGiD                            
BREAKING : Car chase under way in Paris as officers pursue #CharlieHebdo suspects down motorway http://t.co/f30TSVt1yN http://t.co/1ShVASm5ym	N , N V P N P ^ P ^ V ^ V T N U U	0.6086 0.9720 0.8558 0.6029 0.9404 0.8761 0.9991 0.9957 0.9700 0.6895 0.9664 0.6216 0.9855 0.5561 0.7762 0.9948 0.9992	BREAKING: Car chase under way in Paris as officers pursue #CharlieHebdo suspects down motorway http://t.co/f30TSVt1yN http://t.co/1ShVASm5ym            
[ Happening Now ] Shooting and hostage situation at Kosher supermarket in eastern #Paris http://t.co/TszoK14DJH http://t.co/lAYTn6mfvs	, V R , V & N N P A N P ^ ^ U U	0.9870 0.9971 0.9878 0.9971 0.6254 0.9977 0.9669 0.9991 0.9984 0.6154 0.9990 0.9921 0.7190 0.8624 0.9940 0.9992	[Happening Now] Shooting and hostage situation at Kosher supermarket in eastern #Paris http://t.co/TszoK14DJH http://t.co/lAYTn6mfvs                    
UPDATE : 12 now confirmed dead in #CharlieHebdo attack in Paris , @AP is reporting . Story : http://t.co/Jfqmha1GdV ( AP ) http://t.co/vDCIFHIa9U	N , $ R V A P ^ V P ^ , @ V V , N , U , ^ , U	0.9721 0.9542 0.9894 0.9937 0.9852 0.8101 0.9819 0.8948 0.8154 0.9874 0.9978 0.9947 0.9948 0.9973 0.9330 0.9963 0.9825 0.9259 0.9918 0.9417 0.6253 0.9719 0.9987	UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U             
#UPDATE : Car chase , hostage drama as Paris massacre suspects cornered http://t.co/G958ogOrXZ	N , N N , N N P ^ N V V U	0.7178 0.9655 0.8558 0.6614 0.9970 0.9597 0.9941 0.9959 0.9978 0.9605 0.8967 0.8103 0.9980	#UPDATE: Car chase, hostage drama as Paris massacre suspects cornered http://t.co/G958ogOrXZ                                                            
The first person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/9LUWBZ9SbC http://t.co/ulTAJHywnK	D A N V P ^ ^ V V A N N U U	0.9960 0.9966 0.9924 0.9983 0.9319 0.9993 0.9841 0.8609 0.9861 0.6804 0.9844 0.9929 0.9962 0.9991	The first person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/9LUWBZ9SbC http://t.co/ulTAJHywnK                                
BREAKING : At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh	N , P A P V P ^ N N P @ U	0.6086 0.9794 0.9590 0.9794 0.7722 0.9980 0.9455 0.7631 0.7506 0.9974 0.9921 0.9940 0.9979	BREAKING: At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh                                                                 
At least 12 people were killed in today's deadly attack on #CharlieHebdo , an official says . http://t.co/aNxmNzN3LE http://t.co/UIHx6WUAvg	P A $ N V V P S A N P ^ , D N V , U U	0.9837 0.9877 0.9958 0.9991 0.9952 0.9771 0.9630 0.8553 0.9944 0.9493 0.9938 0.8696 0.9970 0.9694 0.8607 0.8882 0.9939 0.9951 0.9992	At least 12 people were killed in today's deadly attack on #CharlieHebdo, an official says. http://t.co/aNxmNzN3LE http://t.co/UIHx6WUAvg               
Breaking : Armed man linked to Charlie Hebdo suspects takes hostages at kosher grocery store in east Paris http://t.co/t1SKHe7p2y	V , A N V P ^ ^ V V N P A N N P A ^ U	0.4778 0.9798 0.4822 0.9969 0.9949 0.9890 0.9985 0.9847 0.9202 0.9794 0.9964 0.9983 0.9402 0.9611 0.9627 0.9899 0.5476 0.9832 0.9977	Breaking: Armed man linked to Charlie Hebdo suspects takes hostages at kosher grocery store in east Paris  http://t.co/t1SKHe7p2y                       
#BREAKING - One person has been injured in the shootout at kosher grocery store in Porte de #Vincennes http://t.co/uel0jveeWP	# , $ N V V V P D N P A N N P ^ P ^ U	0.5690 0.8858 0.9280 0.9852 0.9964 0.9843 0.9883 0.9805 0.9993 0.9997 0.9983 0.9402 0.9611 0.9627 0.9948 0.9143 0.7240 0.5208 0.9979	#BREAKING - One person has been injured in the shootout at kosher grocery store in Porte de #Vincennes http://t.co/uel0jveeWP                           
BREAKING : French police descend on town where gunmen resembling suspected #CharlieHebdo attackers hit gas station http://t.co/pEFLi4EjX0	N , ^ N V P N R N V V # N V N N U	0.6086 0.9690 0.9052 0.6432 0.9709 0.9323 0.8819 0.9652 0.9396 0.9393 0.6791 0.4327 0.9352 0.9838 0.9190 0.9988 0.9976	BREAKING: French police descend on town where gunmen resembling suspected #CharlieHebdo attackers hit gas station http://t.co/pEFLi4EjX0                
BREAKING : 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3	N , $ V A P ^ ^ ^ V , A N U	0.6086 0.9407 0.9900 0.9144 0.8101 0.9883 0.9993 0.9897 0.9323 0.7617 0.9751 0.8440 0.9865 0.9980	BREAKING: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3                                                            
UPDATE : French police in standoff with #CharlieHebdo attack suspects , hostage believed taken http://t.co/Jzqo5Su0a1 http://t.co/zexuGWcdzd	N , ^ N P N P ^ V V , N V V U U	0.9721 0.9618 0.9052 0.7220 0.9856 0.9935 0.9989 0.8937 0.8443 0.8713 0.9978 0.9610 0.9950 0.9743 0.9948 0.9988	UPDATE: French police in standoff with #CharlieHebdo attack suspects, hostage believed taken http://t.co/Jzqo5Su0a1 http://t.co/zexuGWcdzd              
RT @JeffersonObama : R.I.P. Ahmed Merabet , a French #Muslim Cop , first victim of #CharlieHebdo attack http://t.co/TMQsJCCKB5	~ @ ~ ! ^ ^ , D ^ ^ ^ , A N P ^ V U	0.9979 0.9991 0.9918 0.6844 0.9988 0.9132 0.9964 0.9950 0.8311 0.6049 0.6838 0.9956 0.9652 0.9994 0.9962 0.9262 0.5503 0.9976	RT @JeffersonObama: R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/TMQsJCCKB5                             
Convoy of police cars rushing toward town northeast of Paris amid reports of hostages taken - @FRANCE24 broadcast http://t.co/ZFJYh80uxy	N P N N V P N N P ^ G N P N V , @ N U	0.9964 0.9983 0.6227 0.9954 0.9983 0.9892 0.7795 0.6898 0.9983 0.9980 0.3176 0.9802 0.9923 0.9925 0.9984 0.9035 0.9909 0.6005 0.9977	Convoy of police cars rushing toward town northeast of Paris amid reports of hostages taken - @FRANCE24 broadcast http://t.co/ZFJYh80uxy                
Police officer at scene of Paris hostage situation tells the BBC two people are confirmed to have died http://t.co/0wLOuy8soe	^ N P N P ^ N N V D ^ $ N V V P V V U	0.5443 0.9720 0.9989 0.9724 0.9991 0.9985 0.9710 0.9987 0.9961 0.9939 0.8387 0.9682 0.9989 0.9941 0.7492 0.9894 0.9997 0.9288 0.9975	Police officer at scene of Paris hostage situation tells the BBC two people are confirmed to have died http://t.co/0wLOuy8soe                           
Charlie Hebdo Suspects and Police Are Said to Exchange Fire Northeast of Paris http://t.co/PAeylkumvD	^ ^ ^ & ^ V V P ^ ^ ^ P ^ U	0.9964 0.9841 0.4935 0.9968 0.6084 0.9075 0.9852 0.9934 0.7561 0.9913 0.6560 0.9888 0.9991 0.9971	Charlie Hebdo Suspects and Police Are Said to Exchange Fire Northeast of Paris http://t.co/PAeylkumvD                                                   
French officials say one of the alleged gunman left ID in getaway car after #CharlieHebdo attack http://t.co/9c5VpoFxJI	^ ^ V $ P D A N V R P N N P ^ V U	0.7757 0.7199 0.9547 0.9756 0.9994 0.9970 0.7712 0.9984 0.8967 0.3293 0.9783 0.9819 0.9971 0.9828 0.7603 0.4619 0.9977	French officials say one of the alleged gunman left ID in getaway car after #CharlieHebdo attack http://t.co/9c5VpoFxJI                                 
Reports of fatality and injuries following shootout ahead of Dammartin-en-Goele hunt - live coverage : http://t.co/JM4ot03Ge5 #CharlieHebdo	N P N & N V N R P ^ N , A N , U #	0.9744 0.9799 0.9144 0.9983 0.8878 0.9067 0.9947 0.5335 0.9956 0.4830 0.5093 0.9537 0.5855 0.9999 0.9395 0.9974 0.9793	Reports of fatality and injuries following shootout ahead of Dammartin-en-Goele hunt - live coverage: http://t.co/JM4ot03Ge5 #CharlieHebdo              
Update - AFP reports at least five people have been taken hostage and one person wounded after shooting at kosher grocery in eastern #Paris	N , ^ N P A $ N V V V N & $ N V P V P A N P ^ ^	0.9089 0.7234 0.7887 0.9019 0.9974 0.9872 0.5725 0.9990 0.9979 0.9703 0.9975 0.9706 0.9977 0.9695 0.9828 0.9325 0.9282 0.6527 0.9874 0.9402 0.9903 0.9937 0.6930 0.5793	Update - AFP reports at least five people have been taken hostage and one person wounded after shooting at kosher grocery in eastern #Paris             
Update - AFP reports an armed man has taken a hostage in a kosher grocery in #Paris	N , ^ N D A N V V D N P D A N P ^	0.9089 0.7234 0.7887 0.6116 0.8672 0.9139 0.9969 0.9964 0.9989 0.9982 0.9974 0.9938 0.9979 0.9915 0.9913 0.9950 0.5024	Update - AFP reports an armed man has taken a hostage in a kosher grocery in #Paris                                                                     
Latest on the manhunt for Charlie Hebdo attackers : http://t.co/JfmqW07Vhk http://t.co/mjiiPM2gHG	A P D ^ P ^ ^ N , U U	0.9768 0.9984 0.9990 0.7131 0.9989 0.9992 0.9869 0.9443 0.9380 0.9945 0.9992	Latest on the manhunt for Charlie Hebdo attackers: http://t.co/JfmqW07Vhk http://t.co/mjiiPM2gHG                                                        
Appalled by the attack on Charlie Hebdo in Paris , 10 - probably journalists - now confirmed dead . An attack on free speech everywhere .	V P D N P ^ ^ P ^ , $ , R N , R V A , D N P A N R ,	0.9317 0.9994 0.9989 0.9866 0.9959 0.9995 0.9797 0.9931 0.9978 0.9899 0.9987 0.9250 0.9678 0.9092 0.9811 0.9886 0.9852 0.9270 0.9990 0.9819 0.9285 0.9915 0.9764 0.9994 0.9874 0.9978	Appalled by the attack on Charlie Hebdo in Paris, 10 - probably journalists - now confirmed dead. An attack on free speech everywhere.                  
According to #CharlieHebdo’s lawyer four well-known French cartoonists were killed by the masked gunmen : Cabu , Wolinski , Charb et Tignous .	V P Z N $ A ^ N V V P D A N , ^ , ^ , ^ N N ,	0.9980 0.9899 0.5758 0.9558 0.7623 0.9932 0.6643 0.9896 0.9953 0.9805 0.9992 0.9971 0.9406 0.9992 0.9607 0.8045 0.9948 0.9043 0.9948 0.8741 0.3603 0.7840 0.9967	According to #CharlieHebdo’s lawyer four well-known French cartoonists were killed by the masked gunmen: Cabu, Wolinski, Charb et Tignous.              
#BREAKING : Both Charlie Hebdo suspects killed as police storm building ( police sources ) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z	# , D ^ ^ V V P N N N , N N , U U	0.6765 0.9592 0.3893 0.9979 0.9847 0.9622 0.9774 0.9599 0.5977 0.9731 0.8959 0.9746 0.8377 0.9905 0.9745 0.9971 0.9992	#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z                  
And now the Trocadero . I have a very bad feeling about today	& R D N , O V D R A V P N	0.9981 0.9849 0.9984 0.6188 0.9989 0.9980 0.9999 0.9937 0.9941 0.9994 0.8943 0.9674 0.9938	And now the Trocadero. I have a very bad feeling about today                                                                                            
#BREAKING - At least five hostages in Paris kosher supermarket : ( AFP ) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps	# , P A $ N P ^ A N , , ^ , U # U	0.5690 0.9390 0.9696 0.9882 0.6312 0.9984 0.9989 0.9900 0.9574 0.9994 0.8580 0.8151 0.4520 0.9760 0.9932 0.7296 0.9977	#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps                         
Witness to #CharlieHebdo attack claims gunmen told him it was “ Al-Qaeda in Yemen ” ( i.e. AQAP ): http://t.co/gGyLxyvSTw http://t.co/3jcdj9dZcD	V P ^ V V N V O O V , ^ P ^ , , L ^ , U U	0.7740 0.9823 0.8658 0.8418 0.7565 0.9137 0.9998 0.9852 0.9935 0.9983 0.9780 0.8463 0.9918 0.9989 0.9533 0.9742 0.4746 0.2820 0.8330 0.9910 0.9993	Witness to #CharlieHebdo attack claims gunmen told him it was “Al-Qaeda in Yemen” (i.e. AQAP): http://t.co/gGyLxyvSTw http://t.co/3jcdj9dZcD            
#BREAKING At least five hostages in Paris kosher supermarket : source	V P A $ N P ^ A N , N	0.4731 0.9775 0.9814 0.6199 0.9984 0.9989 0.9900 0.9574 0.9996 0.9798 0.9587	#BREAKING At least five hostages in Paris kosher supermarket: source                                                                                    
BREAKING : Hostage taken at kosher deli in Paris by gunman who killed cop yesterday http://t.co/vQMplUv5Qu	N , N V P A N P ^ P N O V N N U	0.6086 0.9737 0.8142 0.9879 0.9907 0.9135 0.9948 0.9986 0.9969 0.9856 0.8338 0.9813 0.9982 0.9501 0.9710 0.9973	BREAKING: Hostage taken at kosher deli in Paris by gunman who killed cop yesterday http://t.co/vQMplUv5Qu                                               
Suspects in Thursday slaying of policewoman and current hostage situation in the East of Paris . AFP http://t.co/sDwgb6GEDw	V P ^ N P N & A N N P D ^ P ^ , ^ U	0.9057 0.9649 0.9883 0.9878 0.9951 0.9467 0.9977 0.9840 0.9938 0.9976 0.9990 0.9990 0.5860 0.9887 0.9986 0.9948 0.3238 0.9975	Suspects in Thursday slaying of policewoman and current hostage situation in the East of Paris. AFP http://t.co/sDwgb6GEDw                              
#CharlieHebdo suspects killed , hostage freed and safe after police assault . Photo Joel Saget #AFP http://t.co/AW5E6KEuzy	# V V , N V & A P N N , N ^ ^ # U	0.5479 0.9673 0.9510 0.9969 0.9611 0.8095 0.9918 0.8088 0.9908 0.7650 0.9952 0.9972 0.7399 0.9895 0.9779 0.6068 0.9975	#CharlieHebdo suspects killed, hostage freed and safe after police assault. Photo Joel Saget #AFP http://t.co/AW5E6KEuzy                                
BREAKING UPDATE : 11 dead , 10 wounded in Charlie Hebdo HQ shooting - Paris police http://t.co/Q27XnP3AS3	V N , $ A , $ V P ^ ^ ^ V , ^ N U	0.6271 0.9742 0.8626 0.9939 0.8974 0.9964 0.9968 0.5300 0.9340 0.9993 0.9897 0.9323 0.7617 0.9164 0.9977 0.7749 0.9973	BREAKING UPDATE: 11 dead, 10 wounded in Charlie Hebdo HQ shooting - Paris police  http://t.co/Q27XnP3AS3                                                
