text,hasURL,urls,urls_expanded,hasUserURL,user_url,text_token,isNotOnlyText,Noun,Verb,Adjective,Pronoun,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,Adverb,Numeral,Conjunction_inj,Particle,Determiner,Modal,Whs,char_count,word_count,has_question,has_exclaim,has_period,capital_ratio,tweet_count,listed_count,follow_ratio,age,verified,isRumor,isRumor
"According to AFP ""a number"" of hostages have been freed after police raided supermarket / Hostage in #Dammartin free http://t.co/LdSF5QeCiv",1,['http://t.co/LdSF5QeCiv'],['http://f24.my/YTliveEN'],1,http://www.france24.com,"['according', 'to', 'afp', 'a', 'number', 'of', 'hostages', 'have', 'been', 'freed', 'after', 'police', 'raided', 'supermarket', 'hostage', 'in', 'dammartin', 'free']",1,6,6,1,0,0,0,0,0,0,3,0,1,0,0,139,18,0,0,1,0.07913669064748201,5.159612304583338,3.8174992618677583,6.1009072219569696,2849,1,1,1
Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo. Live updates: http://t.co/w2A2CcyPkN http://t.co/150t62a5IN,1,['http://t.co/w2A2CcyPkN'],['http://mirr.im/140yBUh'],1,http://t.co/QVBfMK244U,"['gunmen', 'reportedly', 'asked', 'for', 'victims', 'by', 'name', 'before', 'shooting', 'them', 'charliehebdo', 'live', 'updates']",1,4,3,1,1,0,0,1,1,0,3,0,0,0,0,139,13,0,0,1,0.10071942446043165,5.060486306315172,3.4072208929273966,5.455309382780041,2268,1,1,1
#BREAKING - Hostage taken at kosher shop in #Paris by ‘suspect in police officer shooting' https://t.co/4yt6nafpIg http://t.co/f9N8Bjn68I,1,['https://t.co/4yt6nafpIg'],['https://www.youtube.com/watch?v=BFwedk4dBCc'],1,http://www.france24.com,"['breaking', 'hostage', 'taken', 'at', 'kosher', 'shop', 'in', 'paris', 'by', 'suspect', 'in', 'police', 'officer', 'shooting']",1,5,3,1,0,0,0,0,0,0,4,0,0,0,0,137,14,0,0,1,0.10218978102189781,5.159188072784984,3.813981075636472,6.099868058457043,2849,1,1,1
"Three gunmen who shot dead 12 people at the HQ of #CharlieHebdo are still on the run in Paris, police say. https://t.co/3QkWHN0kgy",1,['https://t.co/3QkWHN0kgy'],['https://vine.co/v/OpKlP5Fzgv7'],1,http://t.co/7witOoeYyy,"['three', 'gunmen', 'who', 'shot', 'dead', '12', 'people', 'at', 'the', 'hq', 'of', 'charliehebdo', 'are', 'still', 'on', 'the', 'run', 'in', 'paris', 'police', 'say']",1,6,3,2,0,0,0,0,1,2,4,0,2,0,1,130,21,0,0,1,0.07692307692307693,5.087536525907451,4.167671716230021,6.252074971570188,2728,1,1,1
BREAKING: French police tell AP suspects in #CharlieHebdo attack have taken a hostage northeast of Paris.,0,[],[],1,http://www.foxnews.com,"['breaking', 'french', 'police', 'tell', 'ap', 'suspects', 'in', 'charliehebdo', 'attack', 'have', 'taken', 'a', 'hostage', 'northeast', 'of', 'paris']",0,7,4,2,0,0,0,0,0,0,2,0,1,0,0,105,16,0,0,1,0.13333333333333333,5.279310968685807,4.6505406388014645,6.675220547412215,2854,1,1,1
"Paris police: 10 dead, 5 injured at #CharlieHebdo shooting",0,[],[],1,http://t.co/pDcRyeWGE8,"['paris', 'police', '10', 'dead', '5', 'injured', 'at', 'charliehebdo', 'shooting']",0,2,2,2,0,0,0,0,0,2,1,0,0,0,0,58,9,0,0,0,0.05172413793103448,4.2887856124025046,2.5728716022004803,3.8435442119456353,2255,1,1,1
MORE: Police surround kosher grocery store in eastern Paris where armed man is holding hostage http://t.co/cI8cztQjE6 http://t.co/BAwGOO5Wn3,1,['http://t.co/cI8cztQjE6'],['http://on.rt.com/ycbp8f'],1,http://RT.com,"['more', 'police', 'surround', 'kosher', 'grocery', 'store', 'in', 'eastern', 'paris', 'where', 'armed', 'man', 'is', 'holding', 'hostage']",1,5,4,2,0,0,0,0,2,0,1,0,0,0,1,140,15,0,0,1,0.10714285714285714,5.021772103293179,4.133730466624549,5.9260783935383365,1977,1,1,1
"BREAKING: Police official: Suspects in Charlie Hebdo massacre killed, hostage freed.",0,[],[],1,http://www.ap.org,"['breaking', 'police', 'official', 'suspects', 'in', 'charlie', 'hebdo', 'massacre', 'killed', 'hostage', 'freed']",0,7,2,1,0,0,0,0,0,0,1,0,0,0,0,84,11,0,0,1,0.14285714285714285,4.9894765152773415,4.816837630902035,6.658500680583411,2022,1,1,1
Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT,1,['http://t.co/EX1xB40JWS'],['http://dailym.ai/1KlfGVQ'],1,http://t.co/5os3efPsqo,"['charlie', 'hebdo', 'attackers', 'were', 'two', 'masked', 'men', 'brandishing', 'kalashnikovs', 'and', 'rocket', 'launchers']",1,7,3,0,0,0,0,0,0,1,1,0,0,0,0,135,12,0,0,1,0.0962962962962963,5.099186686933331,3.8840586470939384,5.913200640747162,2367,1,1,1
"Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT",0,[],[],1,http://t.co/wZLgGFIDuF,"['most', 'compelling', 'image', 'ive', 'seen', 'to', 'come', 'out', 'of', 'horrifying', 'events', 'in', 'paris', 'courtesy', 'of', 'banksy', 'jesuischarlie']",1,5,3,3,0,0,0,0,1,0,4,0,0,0,0,132,17,0,0,1,0.10606060606060606,3.762453482363547,1.5314789170422551,3.1261314072619846,1524,0,1,1
A person living near the #Dammartin hostage scene sent us these photos #CharlieHebdo #obs http://t.co/FKHD1fGt03,0,[],[],1,http://f24.my/obs,"['a', 'person', 'living', 'near', 'the', 'dammartin', 'hostage', 'scene', 'sent', 'us', 'these', 'photos', 'charliehebdo', 'obs']",1,6,3,0,1,1,0,0,0,0,1,0,3,0,0,112,14,0,0,1,0.08035714285714286,3.818291890799996,2.5327543789924976,3.9582771255476974,2292,1,1,1
BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ,1,['http://t.co/5F1DOwzoCQ'],['http://ind.pn/1zTnIN8'],1,http://t.co/GsqzXf7Q10,"['breaking', '10', 'reportedly', 'shot', 'dead', 'at', 'paris', 'hq', 'of', 'french', 'weekly', 'charlie', 'hebdo']",1,3,1,5,0,0,0,0,1,1,2,0,0,0,0,99,13,0,0,1,0.1919191919191919,5.093067801160289,4.070850253427573,5.98774087495582,2264,1,1,1
"Nine journalists and two police officers killed in #CharlieHebdo attack, police spokesman confirms http://t.co/KtQOYWXKev",1,['http://t.co/KtQOYWXKev'],['http://gu.com/p/44kb9/stw#block-54ad2349e4b0c9505d7d9a06'],1,http://t.co/xVXmcbsRq4,"['nine', 'journalists', 'and', 'two', 'police', 'officers', 'killed', 'in', 'charliehebdo', 'attack', 'police', 'spokesman', 'confirms']",1,7,1,1,0,0,0,0,0,2,2,0,0,0,0,121,13,0,0,1,0.08264462809917356,4.914168557862637,4.434201514377563,6.19245928437337,2875,1,1,1
Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop. A cry of 'Allahou Akbar' followed by shots http://t.co/G3rHLmAFtH …,1,['http://t.co/G3rHLmAFtH'],['http://www.francetvinfo.fr/faits-divers/attaque-au-siege-de-charlie-hebdo/video-des-images-de-l-attaque-au-siege-de-charlie-hebdo_790543.html'],1,http://t.co/VDu5PnklmW,"['chilling', 'video', 'allegedly', 'of', 'charliehebdo', 'attackers', 'filmed', 'from', 'rooftop', 'a', 'cry', 'of', 'allahou', 'akbar', 'followed', 'by', 'shots']",1,6,4,1,0,0,0,0,1,0,4,0,1,0,0,140,17,0,0,1,0.08571428571428572,3.3366598234544202,1.7323937598229686,2.957607287060095,1708,0,1,1
#CharlieHebdo witness - Gunmen told me to tell the media they were Al-Qaeda in Yemen http://t.co/AyDSKynXG2 h/t @chawk228,1,['http://t.co/AyDSKynXG2'],['http://www.20minutes.fr/societe/1511879-20150107-charlie-hebdo-dit-direz-medias-al-qaeda-yemen-raconte-temoin-19e-arrondissement'],1,https://t.co/Ise6gbkQU6,"['charliehebdo', 'witness', 'gunmen', 'told', 'me', 'to', 'tell', 'the', 'media', 'they', 'were', 'alqaeda', 'in', 'yemen', 'ht', 'chawk228']",1,6,5,0,2,1,0,1,0,0,1,0,1,0,0,121,16,0,0,1,0.09917355371900827,4.999656771766286,3.1792644643390253,4.4680074432592365,1351,0,1,1
UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in #CharlieHebdo shooting - Reports http://t.co/1Y123fisl2,0,[],[],1,http://RT.com,"['update', 'gunman', 'in', 'kosher', 'grocery', 'store', 'is', 'demanding', 'the', 'release', 'of', 'the', 'suspects', 'in', 'charliehebdo', 'shooting', 'reports']",1,8,2,1,0,0,0,0,0,0,4,0,2,0,0,138,17,0,0,1,0.07971014492753623,5.021805146765116,4.133315316898848,5.926137085878052,1977,1,1,1
AFP reporting at least five hostages have been taken at kosher shop in Paris - live http://t.co/hRxscrV6yW #CharlieHebdo,1,['http://t.co/hRxscrV6yW'],['http://trib.al/k3UP0uO'],1,http://theguardian.com,"['afp', 'reporting', 'at', 'least', 'five', 'hostages', 'have', 'been', 'taken', 'at', 'kosher', 'shop', 'in', 'paris', 'live', 'charliehebdo']",1,5,3,2,0,0,0,0,0,1,3,0,0,0,0,120,16,0,0,1,0.075,5.030595674468228,4.550020331237659,6.49098271166089,1890,1,1,1
BREAKING: Paris: 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq,1,['http://t.co/4qqVIjLP8A'],"['http://www.ynetnews.com/articles/0,7340,L-4612454,00.html']",1,http://t.co/xAiNMbYJbZ,"['breaking', 'paris', '10', 'dead', 'in', 'attack', 'on', 'satirical', 'paper', 'that', 'poked', 'fun', 'at', 'mohammed', 'charliehebdo']",1,4,3,3,0,0,0,0,0,1,3,0,0,0,1,140,15,0,0,1,0.14285714285714285,4.325433558346947,2.8987251815894934,4.31329762608687,1220,0,1,1
#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports http://t.co/4wugwxfVjj http://t.co/SblgDDXGiD,1,['http://t.co/4wugwxfVjj'],['http://ind.pn/1BHvU5b'],1,http://t.co/GsqzXf7Q10,"['charliehebdo', 'famous', 'cartoonists', 'charb', 'and', 'cabu', 'shot', 'dead', 'according', 'to', 'reports']",1,5,1,2,0,0,0,0,1,0,1,0,0,0,0,124,11,0,0,1,0.08870967741935484,5.092513621403774,4.06918692515191,5.986364112126432,2264,1,1,1
BREAKING: Car chase under way in Paris as officers pursue #CharlieHebdo suspects down motorway http://t.co/f30TSVt1yN http://t.co/1ShVASm5ym,1,['http://t.co/f30TSVt1yN'],['http://ind.pn/1BNSmKb'],1,http://www.independent.co.uk,"['breaking', 'car', 'chase', 'under', 'way', 'in', 'paris', 'as', 'officers', 'pursue', 'charliehebdo', 'suspects', 'down', 'motorway']",1,6,3,0,0,0,0,0,1,0,3,1,0,0,0,140,14,0,0,1,0.14285714285714285,5.0943628035567885,4.071624298539752,5.988944923944676,2266,1,1,1
[Happening Now] Shooting and hostage situation at Kosher supermarket in eastern #Paris http://t.co/TszoK14DJH http://t.co/lAYTn6mfvs,1,['http://t.co/TszoK14DJH'],['http://eurone.ws/H2rYE'],1,http://www.euronews.com/,"['happening', 'now', 'shooting', 'and', 'hostage', 'situation', 'at', 'kosher', 'supermarket', 'in', 'eastern', 'paris']",1,3,2,2,0,0,0,0,1,0,3,0,0,0,0,132,12,0,0,1,0.09848484848484848,4.685679052400608,3.612571954065176,5.114751056635227,2122,1,1,1
"UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U",1,['http://t.co/Jfqmha1GdV'],['http://usat.ly/1IpqNci'],1,http://t.co/7xDl0vVHSt,"['update', '12', 'now', 'confirmed', 'dead', 'in', 'charliehebdo', 'attack', 'in', 'paris', 'ap', 'is', 'reporting', 'story', 'ap']",1,5,3,3,0,0,0,0,1,1,2,0,0,0,0,139,15,0,0,1,0.17266187050359713,5.029278235361516,4.381638446726157,6.148660022305081,2344,1,1,1
"#UPDATE: Car chase, hostage drama as Paris massacre suspects cornered http://t.co/G958ogOrXZ",1,['http://t.co/G958ogOrXZ'],['http://u.afp.com/R6R'],1,http://t.co/kqhCI1Bvmj,"['update', 'car', 'chase', 'hostage', 'drama', 'as', 'paris', 'massacre', 'suspects', 'cornered']",1,6,1,2,0,0,0,0,0,0,1,0,0,0,0,92,10,0,0,1,0.13043478260869565,4.8105416578835305,3.9193396367874134,5.483040697683873,1200,1,1,1
The first person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/9LUWBZ9SbC http://t.co/ulTAJHywnK,1,['http://t.co/9LUWBZ9SbC'],['http://ind.pn/1yE1GTq'],1,http://www.independent.co.uk,"['the', 'first', 'person', 'killed', 'in', 'charlie', 'hebdo', 'attacks', 'was', 'muslim', 'police', 'officer']",1,6,2,2,0,0,0,0,0,0,1,0,1,0,0,120,12,0,0,1,0.13333333333333333,5.093036252945163,4.070481175066019,5.9877131769198595,2265,1,1,1
BREAKING: At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh,1,['http://t.co/C2WrcWLUZh'],['http://fxn.ws/1IygPFQ'],1,http://www.foxnews.com,"['breaking', 'at', 'least', '2', 'killed', 'in', 'paris', 'hostage', 'situation', 'via', 'afp']",1,3,2,1,0,0,0,0,0,1,3,0,0,0,0,87,11,0,0,1,0.21839080459770116,5.27932466544261,4.650628024927767,6.675275863749697,2854,1,1,1
"At least 12 people were killed in today's deadly attack on #CharlieHebdo, an official says. http://t.co/aNxmNzN3LE http://t.co/UIHx6WUAvg",1,['http://t.co/aNxmNzN3LE'],['http://cnn.it/14uL5og'],1,http://t.co/IaghNW8Xm2,"['at', 'least', '12', 'people', 'were', 'killed', 'in', 'todays', 'deadly', 'attack', 'on', 'charliehebdo', 'an', 'official', 'says']",1,4,4,0,0,0,0,0,1,1,3,0,1,0,0,137,15,0,0,1,0.10218978102189781,4.735351345168791,5.0097057883905185,7.187245815684332,2889,1,1,1
Breaking: Armed man linked to Charlie Hebdo suspects takes hostages at kosher grocery store in east Paris  http://t.co/t1SKHe7p2y,1,['http://t.co/t1SKHe7p2y'],['http://on.wsj.com/14oaj77'],1,http://wsj.com,"['breaking', 'armed', 'man', 'linked', 'to', 'charlie', 'hebdo', 'suspects', 'takes', 'hostages', 'at', 'kosher', 'grocery', 'store', 'in', 'east', 'paris']",1,6,5,3,0,0,0,0,0,0,2,0,0,0,0,129,17,0,0,1,0.06201550387596899,5.019593959389557,4.92553897945812,6.747107073330876,2840,1,1,1
#BREAKING - One person has been injured in the shootout at kosher grocery store in Porte de #Vincennes http://t.co/uel0jveeWP,1,['http://t.co/uel0jveeWP'],['http://f24.my/14yifmk'],1,http://www.france24.com,"['breaking', 'one', 'person', 'has', 'been', 'injured', 'in', 'the', 'shootout', 'at', 'kosher', 'grocery', 'store', 'in', 'porte', 'de', 'vincennes']",1,6,4,1,0,0,0,0,0,1,4,0,1,0,0,125,17,0,0,1,0.104,5.159380683260622,3.8144473785224875,6.099875305017575,2849,1,1,1
BREAKING: French police descend on town where gunmen resembling suspected #CharlieHebdo attackers hit gas station http://t.co/pEFLi4EjX0,1,['http://t.co/pEFLi4EjX0'],['http://nbcnews.to/1KoMw86'],1,http://NBCNews.com,"['breaking', 'french', 'police', 'descend', 'on', 'town', 'where', 'gunmen', 'resembling', 'suspected', 'charliehebdo', 'attackers', 'hit', 'gas', 'station']",1,7,4,2,0,0,0,0,0,0,1,0,0,0,1,136,15,0,0,1,0.11764705882352941,4.654648135617599,4.3964608915070755,6.301712820959228,2486,1,1,1
BREAKING: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3,1,['http://t.co/Q27XnP3AS3'],['http://on.rt.com/wayl2n'],1,http://t.co/bDDyvy9DmR,"['breaking', '10', 'reported', 'dead', 'in', 'charlie', 'hebdo', 'hq', 'shooting', 'local', 'media']",1,4,3,2,0,0,0,0,0,1,1,0,0,0,0,92,11,0,0,1,0.18478260869565216,5.02126374317181,4.133123575402619,5.925539494977593,1975,1,1,1
"UPDATE: French police in standoff with #CharlieHebdo attack suspects, hostage believed taken http://t.co/Jzqo5Su0a1 http://t.co/zexuGWcdzd",1,['http://t.co/Jzqo5Su0a1'],['http://fxn.ws/1Ds7sJF'],1,http://www.foxnews.com,"['update', 'french', 'police', 'in', 'standoff', 'with', 'charliehebdo', 'attack', 'suspects', 'hostage', 'believed', 'taken']",1,4,3,3,0,0,0,0,0,0,2,0,0,0,0,138,12,0,0,1,0.09420289855072464,5.279310968685807,4.6505406388014645,6.675221281340091,2854,1,1,1
"RT @JeffersonObama: R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/TMQsJCCKB5",0,[],[],1,,"['rt', 'jeffersonobama', 'rip', 'ahmed', 'merabet', 'a', 'french', 'muslim', 'cop', 'first', 'victim', 'of', 'charliehebdo', 'attack']",1,8,1,1,0,0,0,0,1,0,1,0,1,0,0,123,14,0,0,1,0.17886178861788618,5.161409932091819,2.1702617153949575,3.668012971641832,2091,0,1,1
Convoy of police cars rushing toward town northeast of Paris amid reports of hostages taken - @FRANCE24 broadcast http://t.co/ZFJYh80uxy,1,['http://t.co/ZFJYh80uxy'],['http://www.breakingnews.com/t/avi'],1,http://t.co/kmGFmDDoPa,"['convoy', 'of', 'police', 'cars', 'rushing', 'toward', 'town', 'northeast', 'of', 'paris', 'amid', 'reports', 'of', 'hostages', 'taken', 'france24', 'broadcast']",1,9,2,1,0,0,0,0,0,0,5,0,0,0,0,136,17,0,0,1,0.08823529411764706,4.949414404525984,4.951818182836491,6.857176423970643,2797,1,1,1
Police officer at scene of Paris hostage situation tells the BBC two people are confirmed to have died http://t.co/0wLOuy8soe,1,['http://t.co/0wLOuy8soe'],['http://bbc.in/1IylabQ'],1,http://www.bbc.co.uk/news,"['police', 'officer', 'at', 'scene', 'of', 'paris', 'hostage', 'situation', 'tells', 'the', 'bbc', 'two', 'people', 'are', 'confirmed', 'to', 'have', 'died']",1,6,5,2,0,0,0,0,0,1,2,0,1,0,0,125,18,0,0,1,0.056,4.358277575795226,5.011879034005875,7.111785268299651,2818,1,1,1
Charlie Hebdo Suspects and Police Are Said to Exchange Fire Northeast of Paris http://t.co/PAeylkumvD,1,['http://t.co/PAeylkumvD'],['http://nyti.ms/1BHpYLP'],1,http://www.nytimes.com/,"['charlie', 'hebdo', 'suspects', 'and', 'police', 'are', 'said', 'to', 'exchange', 'fire', 'northeast', 'of', 'paris']",1,7,3,0,0,0,0,0,0,0,2,0,0,0,0,101,13,0,0,1,0.12871287128712872,5.212730798759993,5.1900093600918975,7.167363893347901,2869,1,1,1
French officials say one of the alleged gunman left ID in getaway car after #CharlieHebdo attack http://t.co/9c5VpoFxJI,1,['http://t.co/9c5VpoFxJI'],['http://on.wsj.com/1xV0d8d'],1,http://wsj.com,"['french', 'officials', 'say', 'one', 'of', 'the', 'alleged', 'gunman', 'left', 'id', 'in', 'getaway', 'car', 'after', 'charliehebdo', 'attack']",1,7,3,1,0,0,0,0,0,1,3,0,1,0,0,119,16,0,0,1,0.07563025210084033,5.019610564510405,4.925502891574323,6.746996038058601,2839,1,1,1
Reports of fatality and injuries following shootout ahead of Dammartin-en-Goele hunt - live coverage: http://t.co/JM4ot03Ge5 #CharlieHebdo,1,['http://t.co/JM4ot03Ge5'],['http://bbc.in/1tPPGas'],1,http://www.bbc.co.uk/news,"['reports', 'of', 'fatality', 'and', 'injuries', 'following', 'shootout', 'ahead', 'of', 'dammartinengoele', 'hunt', 'live', 'coverage', 'charliehebdo']",1,7,1,2,0,0,0,0,1,0,3,0,0,0,0,138,14,0,0,1,0.057971014492753624,4.357934847000454,5.01173110706266,7.111512665141174,2818,1,1,1
Update - AFP reports at least five people have been taken hostage and one person wounded after shooting at kosher grocery in eastern #Paris,0,[],[],1,http://www.skynews.com/,"['update', 'afp', 'reports', 'at', 'least', 'five', 'people', 'have', 'been', 'taken', 'hostage', 'and', 'one', 'person', 'wounded', 'after', 'shooting', 'at', 'kosher', 'grocery', 'in', 'eastern', 'paris']",0,8,5,2,0,0,0,0,0,2,5,0,0,0,0,139,23,0,0,0,0.03597122302158273,4.435191159685178,4.16354896490181,6.139668811798848,1892,1,1,1
Update - AFP reports an armed man has taken a hostage in a kosher grocery in #Paris,0,[],[],1,http://www.skynews.com/,"['update', 'afp', 'reports', 'an', 'armed', 'man', 'has', 'taken', 'a', 'hostage', 'in', 'a', 'kosher', 'grocery', 'in', 'paris']",0,7,3,1,0,0,0,0,0,0,2,0,3,0,0,83,16,0,0,0,0.060240963855421686,4.4353824437324185,4.163340305618251,6.139580957376159,1892,1,1,1
Latest on the manhunt for Charlie Hebdo attackers: http://t.co/JfmqW07Vhk http://t.co/mjiiPM2gHG,1,['http://t.co/JfmqW07Vhk'],['http://on.wsj.com/1BHvdev'],1,http://wsj.com,"['latest', 'on', 'the', 'manhunt', 'for', 'charlie', 'hebdo', 'attackers']",1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,96,8,0,0,1,0.10416666666666667,5.019652074535087,4.925564754682138,6.747046816114019,2840,1,1,1
"Appalled by the attack on Charlie Hebdo in Paris, 10 - probably journalists - now confirmed dead. An attack on free speech everywhere.",0,[],[],1,http://t.co/ERdGJxKiaG,"['appalled', 'by', 'the', 'attack', 'on', 'charlie', 'hebdo', 'in', 'paris', '10', 'probably', 'journalists', 'now', 'confirmed', 'dead', 'an', 'attack', 'on', 'free', 'speech', 'everywhere']",0,7,2,2,0,0,0,0,3,1,4,0,2,0,0,134,21,0,0,1,0.03731343283582089,3.983039616046102,2.6334684555795866,4.286276786466843,2155,0,1,1
