text,Event,token
"At least 12 people were killed in today's deadly attack on #CharlieHebdo, an official says. http://t.co/aNxmNzN3LE http://t.co/UIHx6WUAvg",charliehebdo,"['least', '12', 'people', 'killed', 'todays', 'deadly', 'attack', '#', 'official', 'says', '&', '&']"
Breaking: Armed man linked to Charlie Hebdo suspects takes hostages at kosher grocery store in east Paris  http://t.co/t1SKHe7p2y,charliehebdo,"['breaking', 'armed', 'man', 'linked', 'charlie', 'hebdo', 'suspects', 'takes', 'hostages', 'kosher', 'grocery', 'store', 'east', 'paris', '&']"
#BREAKING - One person has been injured in the shootout at kosher grocery store in Porte de #Vincennes http://t.co/uel0jveeWP,charliehebdo,"['#', 'one', 'person', 'injured', 'shootout', 'kosher', 'grocery', 'store', 'porte', 'de', '#', '&']"
BREAKING: French police descend on town where gunmen resembling suspected #CharlieHebdo attackers hit gas station http://t.co/pEFLi4EjX0,charliehebdo,"['breaking', 'french', 'police', 'descend', 'town', 'gunmen', 'resembling', 'suspected', '#', 'attackers', 'hit', 'gas', 'station', '&']"
BREAKING: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3,charliehebdo,"['breaking', '10', 'reported', 'dead', 'charlie', 'hebdo', 'hq', 'shooting', 'local', 'media', '&']"
"UPDATE: French police in standoff with #CharlieHebdo attack suspects, hostage believed taken http://t.co/Jzqo5Su0a1 http://t.co/zexuGWcdzd",charliehebdo,"['update', 'french', 'police', 'standoff', '#', 'attack', 'suspects', 'hostage', 'believed', 'taken', '&', '&']"
"RT @JeffersonObama: R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/TMQsJCCKB5",charliehebdo,"['rt', '@', 'rip', 'ahmed', 'merabet', 'french', '#', 'cop', 'first', 'victim', '#', 'attack', '&']"
Convoy of police cars rushing toward town northeast of Paris amid reports of hostages taken - @FRANCE24 broadcast http://t.co/ZFJYh80uxy,charliehebdo,"['convoy', 'police', 'cars', 'rushing', 'toward', 'town', 'northeast', 'paris', 'amid', 'reports', 'hostages', 'taken', '@', 'broadcast', '&']"
Police officer at scene of Paris hostage situation tells the BBC two people are confirmed to have died http://t.co/0wLOuy8soe,charliehebdo,"['police', 'officer', 'scene', 'paris', 'hostage', 'situation', 'tells', 'bbc', 'two', 'people', 'confirmed', 'died', '&']"
Charlie Hebdo Suspects and Police Are Said to Exchange Fire Northeast of Paris http://t.co/PAeylkumvD,charliehebdo,"['charlie', 'hebdo', 'suspects', 'police', 'said', 'exchange', 'fire', 'northeast', 'paris', '&']"
French officials say one of the alleged gunman left ID in getaway car after #CharlieHebdo attack http://t.co/9c5VpoFxJI,charliehebdo,"['french', 'officials', 'say', 'one', 'alleged', 'gunman', 'left', 'id', 'getaway', 'car', '#', 'attack', '&']"
Reports of fatality and injuries following shootout ahead of Dammartin-en-Goele hunt - live coverage: http://t.co/JM4ot03Ge5 #CharlieHebdo,charliehebdo,"['reports', 'fatality', 'injuries', 'following', 'shootout', 'ahead', 'dammartinengoele', 'hunt', 'live', 'coverage', '&', '#']"
Update - AFP reports at least five people have been taken hostage and one person wounded after shooting at kosher grocery in eastern #Paris,charliehebdo,"['update', 'afp', 'reports', 'least', 'five', 'people', 'taken', 'hostage', 'one', 'person', 'wounded', 'shooting', 'kosher', 'grocery', 'eastern', '#']"
Update - AFP reports an armed man has taken a hostage in a kosher grocery in #Paris,charliehebdo,"['update', 'afp', 'reports', 'armed', 'man', 'taken', 'hostage', 'kosher', 'grocery', '#']"
Latest on the manhunt for Charlie Hebdo attackers: http://t.co/JfmqW07Vhk http://t.co/mjiiPM2gHG,charliehebdo,"['latest', 'manhunt', 'charlie', 'hebdo', 'attackers', '&', '&']"
"Appalled by the attack on Charlie Hebdo in Paris, 10 - probably journalists - now confirmed dead. An attack on free speech everywhere.",charliehebdo,"['appalled', 'attack', 'charlie', 'hebdo', 'paris', '10', 'probably', 'journalists', 'confirmed', 'dead', 'attack', 'free', 'speech', 'everywhere']"
"According to #CharlieHebdo’s lawyer four well-known French cartoonists were killed by the masked gunmen: Cabu, Wolinski, Charb et Tignous.",charliehebdo,"['according', '#', 'lawyer', 'four', 'wellknown', 'french', 'cartoonists', 'killed', 'masked', 'gunmen', 'cabu', 'wolinski', 'charb', 'et', 'tignous']"
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,charliehebdo,"['#', 'charlie', 'hebdo', 'suspects', 'killed', 'police', 'storm', 'building', 'police', 'sources', '&', '&']"
And now the Trocadero. I have a very bad feeling about today,charliehebdo,"['trocadero', 'bad', 'feeling', 'today']"
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps,charliehebdo,"['#', 'least', 'five', 'hostages', 'paris', 'kosher', 'supermarket', 'afp', '&', '#', '&']"
Witness to #CharlieHebdo attack claims gunmen told him it was “Al-Qaeda in Yemen” (i.e. AQAP): http://t.co/gGyLxyvSTw http://t.co/3jcdj9dZcD,charliehebdo,"['witness', '#', 'attack', 'claims', 'gunmen', 'told', 'alqaeda', 'yemen', 'ie', 'aqap', '&', '&']"
#BREAKING At least five hostages in Paris kosher supermarket: source,charliehebdo,"['#', 'least', 'five', 'hostages', 'paris', 'kosher', 'supermarket', 'source']"
BREAKING: Hostage taken at kosher deli in Paris by gunman who killed cop yesterday http://t.co/vQMplUv5Qu,charliehebdo,"['breaking', 'hostage', 'taken', 'kosher', 'deli', 'paris', 'gunman', 'killed', 'cop', 'yesterday', '&']"
Suspects in Thursday slaying of policewoman and current hostage situation in the East of Paris. AFP http://t.co/sDwgb6GEDw,charliehebdo,"['suspects', 'thursday', 'slaying', 'policewoman', 'current', 'hostage', 'situation', 'east', 'paris', 'afp', '&']"
"#CharlieHebdo suspects killed, hostage freed and safe after police assault. Photo Joel Saget #AFP http://t.co/AW5E6KEuzy",charliehebdo,"['#', 'suspects', 'killed', 'hostage', 'freed', 'safe', 'police', 'assault', 'photo', 'joel', 'saget', '#', '&']"
"BREAKING UPDATE: 11 dead, 10 wounded in Charlie Hebdo HQ shooting - Paris police  http://t.co/Q27XnP3AS3",charliehebdo,"['breaking', 'update', '11', 'dead', '10', 'wounded', 'charlie', 'hebdo', 'hq', 'shooting', 'paris', 'police', '&']"
"UPDATE: Security alert in Trocadero near the Eiffel Tower in Paris appears to be ""false alarm"".",charliehebdo,"['update', 'security', 'alert', 'trocadero', 'near', 'eiffel', 'tower', 'paris', 'appears', 'false', 'alarm']"
Kosher restaurants closing across Paris. Schools nr latest incident locked down. #ParisAttacks http://t.co/8MdsGYsaOZ http://t.co/rObM6QtWIZ,charliehebdo,"['kosher', 'restaurants', 'closing', 'across', 'paris', 'schools', 'nr', 'latest', 'incident', 'locked', '#', '&', '&']"
BREAKING: Police order all shops closed in famed Jewish neighborhood in central Paris far from attacks.,charliehebdo,"['breaking', 'police', 'order', 'shops', 'closed', 'famed', 'jewish', 'neighborhood', 'central', 'paris', 'far', 'attacks']"
#BREAKING Hostages taken north-east of Paris: police,charliehebdo,"['#', 'hostages', 'taken', 'northeast', 'paris', 'police']"
Brilliant by @LucilleClerc #CharlieHebdo http://t.co/fklXQlrbEL,charliehebdo,"['brilliant', '@', '#', '&']"
"BREAKING: Gunfire, hostages taken in Dammartin-en-Goële, east of Paris, as police chase suspected #CharlieHedbo attackers",charliehebdo,"['breaking', 'gunfire', 'hostages', 'taken', 'dammartinengoële', 'east', 'paris', 'police', 'chase', 'suspected', '#', 'attackers']"
#BREAKING - At least 2 dead in  hostage standoff in Paris Kosher supermarket (AFP) http://t.co/OYSXRQ9xuv http://t.co/SQUsZcitcO,charliehebdo,"['#', 'least', '2', 'dead', 'hostage', 'standoff', 'paris', 'kosher', 'supermarket', 'afp', '&', '&']"
Report: Hostages taken at a printing shop northeast of Paris; some injuries - @FRANCE24 broadcast http://t.co/hasCHjOVnC,charliehebdo,"['report', 'hostages', 'taken', 'printing', 'shop', 'northeast', 'paris', 'injuries', '@', 'broadcast', '&']"
"ID card of Said Kouachi, suspect in #CharlieHebdo attack, found in car left by 2 suspects http://t.co/QBuyFSVORd http://t.co/FyiSZvWJJ5",charliehebdo,"['id', 'card', 'said', 'kouachi', 'suspect', '#', 'attack', 'found', 'car', 'left', '2', 'suspects', '&', '&']"
#BREAKING - Hostage taken at kosher shop in #Paris by ‘suspect in police officer shooting' https://t.co/h1qXZG6GlP http://t.co/vpD5A5FYGi,charliehebdo,"['#', 'hostage', 'taken', 'kosher', 'shop', '#', 'suspect', 'police', 'officer', 'shooting', '&', '&']"
"Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack, #JeSuisCharlie #IamCharlie #ParisShooting http://t.co/G8D3mixbjX",charliehebdo,"['ahmed', 'merabet', 'french', '#', 'cop', 'first', 'victim', '#', 'attack', '#', '#', '#', '&']"
#CharlieHebdo cartoon attributed to #banksy is really by @LucilleClerc #JeSuisCharlie https://t.co/FZB4b7iMc2 http://t.co/S6s7ZKyOeN,charliehebdo,"['#', 'cartoon', 'attributed', '#', 'really', '@', '#', '&', '&']"
#CharlieHebdo liveblog by @Independent says news director Charb in critical cond. AQ put price put his head in '13 http://t.co/kGVAxtzyt4,charliehebdo,"['#', 'liveblog', '@', 'says', 'news', 'director', 'charb', 'critical', 'cond', 'aq', 'put', 'price', 'put', 'head', '13', '&']"
Reports in French media of hostage situation as manhunt for #CharlieHebdo suspects centres on #DammartinEnGoele http://t.co/PNhWZP39md,charliehebdo,"['reports', 'french', 'media', 'hostage', 'situation', 'manhunt', '#', 'suspects', 'centres', '#', '&']"
#BREAKING At least two killed in hostage drama east of Paris: source,charliehebdo,"['#', 'least', 'two', 'killed', 'hostage', 'drama', 'east', 'paris', 'source']"
#CharlieHebdo gunmen reportedly killed in firefight with French special forces http://t.co/8P6WQrogO9,charliehebdo,"['#', 'gunmen', 'reportedly', 'killed', 'firefight', 'french', 'special', 'forces', '&']"
Armed gunmen face police officers near the offices of the satirical newspaper #CharlieHebdo Photo: Anne Gelbard #AFP http://t.co/k669PHgVw5,charliehebdo,"['armed', 'gunmen', 'face', 'police', 'officers', 'near', 'offices', 'satirical', 'newspaper', '#', 'photo', 'anne', 'gelbard', '#', '&']"
Update - French media: identified suspect in #Paris policewoman killing is known associate of suspected #CharlieHebdo gunman Cherif Kouachi,charliehebdo,"['update', 'french', 'media', 'identified', 'suspect', '#', 'policewoman', 'killing', 'known', 'associate', 'suspected', '#', 'gunman', 'cherif', 'kouachi']"
There's a tank near the #Paris hostage scene http://t.co/7N7uvClhWY (Pic: Heathcliff O'Malley) http://t.co/EPXhd9k6GF,charliehebdo,"['theres', 'tank', 'near', '#', 'hostage', 'scene', '&', 'pic', 'heathcliff', 'omalley', '&']"
Staff of #CharlieHebdo magazine were shot as they were in the midst of an editorial meeting. Latest updates: http://t.co/E0XArYscqK,charliehebdo,"['staff', '#', 'magazine', 'shot', 'midst', 'editorial', 'meeting', 'latest', 'updates', '&']"
"11 just killed in Paris by ""Alu Akhbar"" shouting armed men in attack on  satirical mag Charlie Hebdo. Background: http://t.co/MUf8ACNbVS",charliehebdo,"['11', 'killed', 'paris', 'alu', 'akhbar', 'shouting', 'armed', 'men', 'attack', 'satirical', 'mag', 'charlie', 'hebdo', 'background', '&']"
"New vid of Paris attack on #CharlieHebdo filmed by a witness. Gunmen on street shout ""Allahu Akbar"" http://t.co/TaZEDtGFlW @akhbar",charliehebdo,"['new', 'vid', 'paris', 'attack', '#', 'filmed', 'witness', 'gunmen', 'street', 'shout', 'allahu', 'akbar', '&', '@']"
Update - AFP: an unnamed police source says the killing of the policewoman in #Paris on Thursday is linked to the #CharlieHebdo attack,charliehebdo,"['update', 'afp', 'unnamed', 'police', 'source', 'says', 'killing', 'policewoman', '#', 'thursday', 'linked', '#', 'attack']"
"Charlie Hebdo attack was obviously carefully planned. 

... and than you leave your ID card in the getaway car? 
─► http://t.co/TzTp8KxRUo",charliehebdo,"['charlie', 'hebdo', 'attack', 'obviously', 'carefully', 'planned', 'leave', 'id', 'card', 'getaway', 'car', '&']"
"12 dead in Paris attack on #CharlieHebdo office, five others critical http://t.co/2J4WQdJnTp http://t.co/qeRByqI6JU",charliehebdo,"['12', 'dead', 'paris', 'attack', '#', 'office', 'five', 'others', 'critical', '&', '&']"
"R.I.P. Ahmed Merabet, a French Muslim cop, first victim of #CharlieHebdo #ParisShooting http://t.co/CYQZhV8Sxc",charliehebdo,"['rip', 'ahmed', 'merabet', 'french', 'muslim', 'cop', 'first', 'victim', '#', '#', '&']"
"R.I.P. Ahmed Merabet, a French police officer, a Muslim, the first victim of #CharlieHebdo attack, http://t.co/bMzZgpXuL7 via @Ironyisfunny8",charliehebdo,"['rip', 'ahmed', 'merabet', 'french', 'police', 'officer', 'muslim', 'first', 'victim', '#', 'attack', '&', 'via', '@']"
"Ten killed in shooting at headquarters of French satirical weekly Charlie Hebdo, says French media citing witnesses #c4news",charliehebdo,"['ten', 'killed', 'shooting', 'headquarters', 'french', 'satirical', 'weekly', 'charlie', 'hebdo', 'says', 'french', 'media', 'citing', 'witnesses', '#']"
"Police seen in Longpont, a village near to a petrol station reportedly robbed by the two #CharlieHebdo suspects. http://t.co/cQsXx2q9PT",charliehebdo,"['police', 'seen', 'longpont', 'village', 'near', 'petrol', 'station', 'reportedly', 'robbed', 'two', '#', 'suspects', '&']"
"MORE: Operation to detain massacre suspects unfolding in Dammartin-en-Goele, about 25 miles northeast of Paris: http://t.co/H1bHg5T7Ec",charliehebdo,"['operation', 'detain', 'massacre', 'suspects', 'unfolding', 'dammartinengoele', '25', 'miles', 'northeast', 'paris', '&']"
DEVELOPING: 2 reported dead in second hostage situation at Paris grocery store http://t.co/F4K3C1lot7,charliehebdo,"['developing', '2', 'reported', 'dead', 'second', 'hostage', 'situation', 'paris', 'grocery', 'store', '&']"
#BREAKING - An armed man has reportedly taken a hostage at a kosher grocery store at Porte de #Vincennes #Paris http://t.co/uel0jveeWP,charliehebdo,"['#', 'armed', 'man', 'reportedly', 'taken', 'hostage', 'kosher', 'grocery', 'store', 'porte', 'de', '#', '#', '&']"
Feared at least 5 hostages are being held in Paris 'kosher' grocery http://t.co/zoafNwyEtr http://t.co/ntDatZ8Pp7,charliehebdo,"['feared', 'least', '5', 'hostages', 'held', 'paris', 'kosher', 'grocery', '&', '&']"
"DEVELOPING: Police pursuing #CharlieHebdo shooting suspects, helicopters deployed - LIVE FEED: http://t.co/GRxHibEau2 http://t.co/pDlmmCax1B",charliehebdo,"['developing', 'police', 'pursuing', '#', 'shooting', 'suspects', 'helicopters', 'deployed', 'live', 'feed', '&', '&']"
"Breaking: At least 10 dead, 5 injured after tO gunman open fire in offices of Charlie  Hebdo,satirical mag that published Mohammed cartoons",charliehebdo,"['breaking', 'least', '10', 'dead', '5', 'injured', 'gunman', 'open', 'fire', 'offices', 'charlie', 'hebdosatirical', 'mag', 'published', 'mohammed', 'cartoons']"
BREAKING UPDATE - FRANCE: Police order all shops closed in famed Jewish neighborhood in central Paris following attacks.,charliehebdo,"['breaking', 'update', 'france', 'police', 'order', 'shops', 'closed', 'famed', 'jewish', 'neighborhood', 'central', 'paris', 'following', 'attacks']"
Police vehicles chase #CharlieHebdo suspects on French motorway http://t.co/k3G8Y2jdE8 http://t.co/MBUxnx3KRv,charliehebdo,"['police', 'vehicles', 'chase', '#', 'suspects', 'french', 'motorway', '&', '&']"
French police publishes photos of suspect in yesterday's Montrouge shooting. Maybe the same persons in Kosher market http://t.co/j5nQIl4Ytu,charliehebdo,"['french', 'police', 'publishes', 'photos', 'suspect', 'yesterdays', 'montrouge', 'shooting', 'maybe', 'persons', 'kosher', 'market', '&']"
"Unconfirmed reports that #CharlieHebdo attackers shouted ""The Prophet is avenged"" and used a rocket launcher. This is next level ****.",charliehebdo,"['unconfirmed', 'reports', '#', 'attackers', 'shouted', 'prophet', 'avenged', 'used', 'rocket', 'launcher', 'next', 'level']"
Banksy’s take on #CharlieHebdo http://t.co/FuqO8rAVcP,charliehebdo,"['banksys', 'take', '#', '&']"
"Fact that the Gunmen were shouting ""Allah Hu Akbar"" while shooting rules out any connection with the Religion of peace. #CharlieHebdo",charliehebdo,"['fact', 'gunmen', 'shouting', 'allah', 'hu', 'akbar', 'shooting', 'rules', 'connection', 'religion', 'peace', '#']"
MORE: Police official: Hostage-taker at Paris market appears linked to newspaper attack suspects: http://t.co/RHLq7ZcHkE,charliehebdo,"['police', 'official', 'hostagetaker', 'paris', 'market', 'appears', 'linked', 'newspaper', 'attack', 'suspects', '&']"
"Operation underway in the Dammartin-en-Goele area, as police hunt Paris shooting suspects, French interior minister tells CNN affiliate.",charliehebdo,"['operation', 'underway', 'dammartinengoele', 'area', 'police', 'hunt', 'paris', 'shooting', 'suspects', 'french', 'interior', 'minister', 'tells', 'cnn', 'affiliate']"
Update - police say gunman in #Paris grocery threatens to kill hostages if police storm suspected #CharlieHebdo gunmen in Dammartin-en-Goele,charliehebdo,"['update', 'police', 'say', 'gunman', '#', 'grocery', 'threatens', 'kill', 'hostages', 'police', 'storm', 'suspected', '#', 'gunmen', 'dammartinengoele']"
Tribute to #CharlieHebdo on Banksy's instagram account: http://t.co/VE37nfsL2R http://t.co/b0QYWmMUkL,charliehebdo,"['tribute', '#', 'banksys', 'instagram', 'account', '&', '&']"
"Interesting that #MouradHamydInnocent is trending, started by classmates who say suspect Mourad was in class at time of #CharlieHebdo attack",charliehebdo,"['interesting', '#', 'trending', 'started', 'classmates', 'say', 'suspect', 'mourad', 'class', 'time', '#', 'attack']"
"It ain't Banksy! Meet @LucilleClerc, artist behind the iconic #CharlieHebdo pencil tribute http://t.co/dSLrOOGQN7 http://t.co/TU2rtmUSd9",charliehebdo,"['aint', 'banksy', 'meet', '@', 'artist', 'behind', 'iconic', '#', 'pencil', 'tribute', '&', '&']"
Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve) http://t.co/GKFP5xVAoc,charliehebdo,"['banksy', 'says', '#', 'beautiful', 'way', 'vi', '@', '&']"
Update - French interior ministry says incident which led to evacuation of Trocadero near the Eiffel Tower in Paris was a false alarm,charliehebdo,"['update', 'french', 'interior', 'ministry', 'says', 'incident', 'led', 'evacuation', 'trocadero', 'near', 'eiffel', 'tower', 'paris', 'false', 'alarm']"
"Clarissa, 27 years old, police trainee of Montrouge Police in #France. Victim of this morning's attack. via @_batou_ http://t.co/kk0w0D6NNv",charliehebdo,"['clarissa', '27', 'years', 'old', 'police', 'trainee', 'montrouge', 'police', '#', 'victim', 'mornings', 'attack', 'via', '@', '&']"
"BREAKING: French police convoy, helicopters rush to scene of operation to detain #CharlieHebdo shooting suspects, AP says",charliehebdo,"['breaking', 'french', 'police', 'convoy', 'helicopters', 'rush', 'scene', 'operation', 'detain', '#', 'shooting', 'suspects', 'ap', 'says']"
"Map shows industrial estate where 2 #CharlieHebdo suspects are holed up, surrounded by police http://t.co/hi9g8dxpiR http://t.co/Vw2L6SQcMH",charliehebdo,"['map', 'shows', 'industrial', 'estate', '2', '#', 'suspects', 'holed', 'surrounded', 'police', '&', '&']"
