text,text_token
"Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT","['most', 'compelling', 'image', 'ive', 'seen', 'to', 'come', 'out', 'of', 'horrifying', 'events', 'in', 'paris', 'courtesy', 'of', 'banksy', 'jesuischarlie']"
A person living near the #Dammartin hostage scene sent us these photos #CharlieHebdo #obs http://t.co/FKHD1fGt03,"['a', 'person', 'living', 'near', 'the', 'dammartin', 'hostage', 'scene', 'sent', 'us', 'these', 'photos', 'charliehebdo', 'obs']"
BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ,"['breaking', '10', 'reportedly', 'shot', 'dead', 'at', 'paris', 'hq', 'of', 'french', 'weekly', 'charlie', 'hebdo']"
"Nine journalists and two police officers killed in #CharlieHebdo attack, police spokesman confirms http://t.co/KtQOYWXKev","['nine', 'journalists', 'and', 'two', 'police', 'officers', 'killed', 'in', 'charliehebdo', 'attack', 'police', 'spokesman', 'confirms']"
Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop. A cry of 'Allahou Akbar' followed by shots http://t.co/G3rHLmAFtH …,"['chilling', 'video', 'allegedly', 'of', 'charliehebdo', 'attackers', 'filmed', 'from', 'rooftop', 'a', 'cry', 'of', 'allahou', 'akbar', 'followed', 'by', 'shots']"
#CharlieHebdo witness - Gunmen told me to tell the media they were Al-Qaeda in Yemen http://t.co/AyDSKynXG2 h/t @chawk228,"['charliehebdo', 'witness', 'gunmen', 'told', 'me', 'to', 'tell', 'the', 'media', 'they', 'were', 'alqaeda', 'in', 'yemen', 'ht', 'chawk228']"
UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in #CharlieHebdo shooting - Reports http://t.co/1Y123fisl2,"['update', 'gunman', 'in', 'kosher', 'grocery', 'store', 'is', 'demanding', 'the', 'release', 'of', 'the', 'suspects', 'in', 'charliehebdo', 'shooting', 'reports']"
AFP reporting at least five hostages have been taken at kosher shop in Paris - live http://t.co/hRxscrV6yW #CharlieHebdo,"['afp', 'reporting', 'at', 'least', 'five', 'hostages', 'have', 'been', 'taken', 'at', 'kosher', 'shop', 'in', 'paris', 'live', 'charliehebdo']"
BREAKING: Paris: 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq,"['breaking', 'paris', '10', 'dead', 'in', 'attack', 'on', 'satirical', 'paper', 'that', 'poked', 'fun', 'at', 'mohammed', 'charliehebdo']"
#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports http://t.co/4wugwxfVjj http://t.co/SblgDDXGiD,"['charliehebdo', 'famous', 'cartoonists', 'charb', 'and', 'cabu', 'shot', 'dead', 'according', 'to', 'reports']"
BREAKING: Car chase under way in Paris as officers pursue #CharlieHebdo suspects down motorway http://t.co/f30TSVt1yN http://t.co/1ShVASm5ym,"['breaking', 'car', 'chase', 'under', 'way', 'in', 'paris', 'as', 'officers', 'pursue', 'charliehebdo', 'suspects', 'down', 'motorway']"
[Happening Now] Shooting and hostage situation at Kosher supermarket in eastern #Paris http://t.co/TszoK14DJH http://t.co/lAYTn6mfvs,"['happening', 'now', 'shooting', 'and', 'hostage', 'situation', 'at', 'kosher', 'supermarket', 'in', 'eastern', 'paris']"
"UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U","['update', '12', 'now', 'confirmed', 'dead', 'in', 'charliehebdo', 'attack', 'in', 'paris', 'ap', 'is', 'reporting', 'story', 'ap']"
"#UPDATE: Car chase, hostage drama as Paris massacre suspects cornered http://t.co/G958ogOrXZ","['update', 'car', 'chase', 'hostage', 'drama', 'as', 'paris', 'massacre', 'suspects', 'cornered']"
The first person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/9LUWBZ9SbC http://t.co/ulTAJHywnK,"['the', 'first', 'person', 'killed', 'in', 'charlie', 'hebdo', 'attacks', 'was', 'muslim', 'police', 'officer']"
BREAKING: At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh,"['breaking', 'at', 'least', '2', 'killed', 'in', 'paris', 'hostage', 'situation', 'via', 'afp']"
"At least 12 people were killed in today's deadly attack on #CharlieHebdo, an official says. http://t.co/aNxmNzN3LE http://t.co/UIHx6WUAvg","['at', 'least', '12', 'people', 'were', 'killed', 'in', 'todays', 'deadly', 'attack', 'on', 'charliehebdo', 'an', 'official', 'says']"
Breaking: Armed man linked to Charlie Hebdo suspects takes hostages at kosher grocery store in east Paris  http://t.co/t1SKHe7p2y,"['breaking', 'armed', 'man', 'linked', 'to', 'charlie', 'hebdo', 'suspects', 'takes', 'hostages', 'at', 'kosher', 'grocery', 'store', 'in', 'east', 'paris']"
#BREAKING - One person has been injured in the shootout at kosher grocery store in Porte de #Vincennes http://t.co/uel0jveeWP,"['breaking', 'one', 'person', 'has', 'been', 'injured', 'in', 'the', 'shootout', 'at', 'kosher', 'grocery', 'store', 'in', 'porte', 'de', 'vincennes']"
BREAKING: French police descend on town where gunmen resembling suspected #CharlieHebdo attackers hit gas station http://t.co/pEFLi4EjX0,"['breaking', 'french', 'police', 'descend', 'on', 'town', 'where', 'gunmen', 'resembling', 'suspected', 'charliehebdo', 'attackers', 'hit', 'gas', 'station']"
BREAKING: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3,"['breaking', '10', 'reported', 'dead', 'in', 'charlie', 'hebdo', 'hq', 'shooting', 'local', 'media']"
"UPDATE: French police in standoff with #CharlieHebdo attack suspects, hostage believed taken http://t.co/Jzqo5Su0a1 http://t.co/zexuGWcdzd","['update', 'french', 'police', 'in', 'standoff', 'with', 'charliehebdo', 'attack', 'suspects', 'hostage', 'believed', 'taken']"
"RT @JeffersonObama: R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/TMQsJCCKB5","['rt', 'jeffersonobama', 'rip', 'ahmed', 'merabet', 'a', 'french', 'muslim', 'cop', 'first', 'victim', 'of', 'charliehebdo', 'attack']"
Convoy of police cars rushing toward town northeast of Paris amid reports of hostages taken - @FRANCE24 broadcast http://t.co/ZFJYh80uxy,"['convoy', 'of', 'police', 'cars', 'rushing', 'toward', 'town', 'northeast', 'of', 'paris', 'amid', 'reports', 'of', 'hostages', 'taken', 'france24', 'broadcast']"
Police officer at scene of Paris hostage situation tells the BBC two people are confirmed to have died http://t.co/0wLOuy8soe,"['police', 'officer', 'at', 'scene', 'of', 'paris', 'hostage', 'situation', 'tells', 'the', 'bbc', 'two', 'people', 'are', 'confirmed', 'to', 'have', 'died']"
Charlie Hebdo Suspects and Police Are Said to Exchange Fire Northeast of Paris http://t.co/PAeylkumvD,"['charlie', 'hebdo', 'suspects', 'and', 'police', 'are', 'said', 'to', 'exchange', 'fire', 'northeast', 'of', 'paris']"
French officials say one of the alleged gunman left ID in getaway car after #CharlieHebdo attack http://t.co/9c5VpoFxJI,"['french', 'officials', 'say', 'one', 'of', 'the', 'alleged', 'gunman', 'left', 'id', 'in', 'getaway', 'car', 'after', 'charliehebdo', 'attack']"
Reports of fatality and injuries following shootout ahead of Dammartin-en-Goele hunt - live coverage: http://t.co/JM4ot03Ge5 #CharlieHebdo,"['reports', 'of', 'fatality', 'and', 'injuries', 'following', 'shootout', 'ahead', 'of', 'dammartinengoele', 'hunt', 'live', 'coverage', 'charliehebdo']"
Update - AFP reports at least five people have been taken hostage and one person wounded after shooting at kosher grocery in eastern #Paris,"['update', 'afp', 'reports', 'at', 'least', 'five', 'people', 'have', 'been', 'taken', 'hostage', 'and', 'one', 'person', 'wounded', 'after', 'shooting', 'at', 'kosher', 'grocery', 'in', 'eastern', 'paris']"
Update - AFP reports an armed man has taken a hostage in a kosher grocery in #Paris,"['update', 'afp', 'reports', 'an', 'armed', 'man', 'has', 'taken', 'a', 'hostage', 'in', 'a', 'kosher', 'grocery', 'in', 'paris']"
Latest on the manhunt for Charlie Hebdo attackers: http://t.co/JfmqW07Vhk http://t.co/mjiiPM2gHG,"['latest', 'on', 'the', 'manhunt', 'for', 'charlie', 'hebdo', 'attackers']"
"Appalled by the attack on Charlie Hebdo in Paris, 10 - probably journalists - now confirmed dead. An attack on free speech everywhere.","['appalled', 'by', 'the', 'attack', 'on', 'charlie', 'hebdo', 'in', 'paris', '10', 'probably', 'journalists', 'now', 'confirmed', 'dead', 'an', 'attack', 'on', 'free', 'speech', 'everywhere']"
"According to #CharlieHebdo’s lawyer four well-known French cartoonists were killed by the masked gunmen: Cabu, Wolinski, Charb et Tignous.","['according', 'to', 'charliehebdos', 'lawyer', 'four', 'wellknown', 'french', 'cartoonists', 'were', 'killed', 'by', 'the', 'masked', 'gunmen', 'cabu', 'wolinski', 'charb', 'et', 'tignous']"
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,"['breaking', 'both', 'charlie', 'hebdo', 'suspects', 'killed', 'as', 'police', 'storm', 'building', 'police', 'sources']"
And now the Trocadero. I have a very bad feeling about today,"['and', 'now', 'the', 'trocadero', 'i', 'have', 'a', 'very', 'bad', 'feeling', 'about', 'today']"
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps,"['breaking', 'at', 'least', 'five', 'hostages', 'in', 'paris', 'kosher', 'supermarket', 'afp', 'vincennes']"
Witness to #CharlieHebdo attack claims gunmen told him it was “Al-Qaeda in Yemen” (i.e. AQAP): http://t.co/gGyLxyvSTw http://t.co/3jcdj9dZcD,"['witness', 'to', 'charliehebdo', 'attack', 'claims', 'gunmen', 'told', 'him', 'it', 'was', 'alqaeda', 'in', 'yemen', 'ie', 'aqap']"
#BREAKING At least five hostages in Paris kosher supermarket: source,"['breaking', 'at', 'least', 'five', 'hostages', 'in', 'paris', 'kosher', 'supermarket', 'source']"
BREAKING: Hostage taken at kosher deli in Paris by gunman who killed cop yesterday http://t.co/vQMplUv5Qu,"['breaking', 'hostage', 'taken', 'at', 'kosher', 'deli', 'in', 'paris', 'by', 'gunman', 'who', 'killed', 'cop', 'yesterday']"
Suspects in Thursday slaying of policewoman and current hostage situation in the East of Paris. AFP http://t.co/sDwgb6GEDw,"['suspects', 'in', 'thursday', 'slaying', 'of', 'policewoman', 'and', 'current', 'hostage', 'situation', 'in', 'the', 'east', 'of', 'paris', 'afp']"
"#CharlieHebdo suspects killed, hostage freed and safe after police assault. Photo Joel Saget #AFP http://t.co/AW5E6KEuzy","['charliehebdo', 'suspects', 'killed', 'hostage', 'freed', 'and', 'safe', 'after', 'police', 'assault', 'photo', 'joel', 'saget', 'afp']"
"BREAKING UPDATE: 11 dead, 10 wounded in Charlie Hebdo HQ shooting - Paris police  http://t.co/Q27XnP3AS3","['breaking', 'update', '11', 'dead', '10', 'wounded', 'in', 'charlie', 'hebdo', 'hq', 'shooting', 'paris', 'police']"
"UPDATE: Security alert in Trocadero near the Eiffel Tower in Paris appears to be ""false alarm"".","['update', 'security', 'alert', 'in', 'trocadero', 'near', 'the', 'eiffel', 'tower', 'in', 'paris', 'appears', 'to', 'be', 'false', 'alarm']"
Kosher restaurants closing across Paris. Schools nr latest incident locked down. #ParisAttacks http://t.co/8MdsGYsaOZ http://t.co/rObM6QtWIZ,"['kosher', 'restaurants', 'closing', 'across', 'paris', 'schools', 'nr', 'latest', 'incident', 'locked', 'down', 'parisattacks']"
BREAKING: Police order all shops closed in famed Jewish neighborhood in central Paris far from attacks.,"['breaking', 'police', 'order', 'all', 'shops', 'closed', 'in', 'famed', 'jewish', 'neighborhood', 'in', 'central', 'paris', 'far', 'from', 'attacks']"
#BREAKING Hostages taken north-east of Paris: police,"['breaking', 'hostages', 'taken', 'northeast', 'of', 'paris', 'police']"
Brilliant by @LucilleClerc #CharlieHebdo http://t.co/fklXQlrbEL,"['brilliant', 'by', 'lucilleclerc', 'charliehebdo']"
"BREAKING: Gunfire, hostages taken in Dammartin-en-Goële, east of Paris, as police chase suspected #CharlieHedbo attackers","['breaking', 'gunfire', 'hostages', 'taken', 'in', 'dammartinengoële', 'east', 'of', 'paris', 'as', 'police', 'chase', 'suspected', 'charliehedbo', 'attackers']"
#BREAKING - At least 2 dead in  hostage standoff in Paris Kosher supermarket (AFP) http://t.co/OYSXRQ9xuv http://t.co/SQUsZcitcO,"['breaking', 'at', 'least', '2', 'dead', 'in', 'hostage', 'standoff', 'in', 'paris', 'kosher', 'supermarket', 'afp']"
Report: Hostages taken at a printing shop northeast of Paris; some injuries - @FRANCE24 broadcast http://t.co/hasCHjOVnC,"['report', 'hostages', 'taken', 'at', 'a', 'printing', 'shop', 'northeast', 'of', 'paris', 'some', 'injuries', 'france24', 'broadcast']"
"ID card of Said Kouachi, suspect in #CharlieHebdo attack, found in car left by 2 suspects http://t.co/QBuyFSVORd http://t.co/FyiSZvWJJ5","['id', 'card', 'of', 'said', 'kouachi', 'suspect', 'in', 'charliehebdo', 'attack', 'found', 'in', 'car', 'left', 'by', '2', 'suspects']"
#BREAKING - Hostage taken at kosher shop in #Paris by ‘suspect in police officer shooting' https://t.co/h1qXZG6GlP http://t.co/vpD5A5FYGi,"['breaking', 'hostage', 'taken', 'at', 'kosher', 'shop', 'in', 'paris', 'by', 'suspect', 'in', 'police', 'officer', 'shooting']"
"Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack, #JeSuisCharlie #IamCharlie #ParisShooting http://t.co/G8D3mixbjX","['ahmed', 'merabet', 'a', 'french', 'muslim', 'cop', 'first', 'victim', 'of', 'charliehebdo', 'attack', 'jesuischarlie', 'iamcharlie', 'parisshooting']"
#CharlieHebdo cartoon attributed to #banksy is really by @LucilleClerc #JeSuisCharlie https://t.co/FZB4b7iMc2 http://t.co/S6s7ZKyOeN,"['charliehebdo', 'cartoon', 'attributed', 'to', 'banksy', 'is', 'really', 'by', 'lucilleclerc', 'jesuischarlie']"
#CharlieHebdo liveblog by @Independent says news director Charb in critical cond. AQ put price put his head in '13 http://t.co/kGVAxtzyt4,"['charliehebdo', 'liveblog', 'by', 'independent', 'says', 'news', 'director', 'charb', 'in', 'critical', 'cond', 'aq', 'put', 'price', 'put', 'his', 'head', 'in', '13']"
Reports in French media of hostage situation as manhunt for #CharlieHebdo suspects centres on #DammartinEnGoele http://t.co/PNhWZP39md,"['reports', 'in', 'french', 'media', 'of', 'hostage', 'situation', 'as', 'manhunt', 'for', 'charliehebdo', 'suspects', 'centres', 'on', 'dammartinengoele']"
#BREAKING At least two killed in hostage drama east of Paris: source,"['breaking', 'at', 'least', 'two', 'killed', 'in', 'hostage', 'drama', 'east', 'of', 'paris', 'source']"
#CharlieHebdo gunmen reportedly killed in firefight with French special forces http://t.co/8P6WQrogO9,"['charliehebdo', 'gunmen', 'reportedly', 'killed', 'in', 'firefight', 'with', 'french', 'special', 'forces']"
Armed gunmen face police officers near the offices of the satirical newspaper #CharlieHebdo Photo: Anne Gelbard #AFP http://t.co/k669PHgVw5,"['armed', 'gunmen', 'face', 'police', 'officers', 'near', 'the', 'offices', 'of', 'the', 'satirical', 'newspaper', 'charliehebdo', 'photo', 'anne', 'gelbard', 'afp']"
Update - French media: identified suspect in #Paris policewoman killing is known associate of suspected #CharlieHebdo gunman Cherif Kouachi,"['update', 'french', 'media', 'identified', 'suspect', 'in', 'paris', 'policewoman', 'killing', 'is', 'known', 'associate', 'of', 'suspected', 'charliehebdo', 'gunman', 'cherif', 'kouachi']"
There's a tank near the #Paris hostage scene http://t.co/7N7uvClhWY (Pic: Heathcliff O'Malley) http://t.co/EPXhd9k6GF,"['theres', 'a', 'tank', 'near', 'the', 'paris', 'hostage', 'scene', 'pic', 'heathcliff', 'omalley']"
Staff of #CharlieHebdo magazine were shot as they were in the midst of an editorial meeting. Latest updates: http://t.co/E0XArYscqK,"['staff', 'of', 'charliehebdo', 'magazine', 'were', 'shot', 'as', 'they', 'were', 'in', 'the', 'midst', 'of', 'an', 'editorial', 'meeting', 'latest', 'updates']"
"11 just killed in Paris by ""Alu Akhbar"" shouting armed men in attack on  satirical mag Charlie Hebdo. Background: http://t.co/MUf8ACNbVS","['11', 'just', 'killed', 'in', 'paris', 'by', 'alu', 'akhbar', 'shouting', 'armed', 'men', 'in', 'attack', 'on', 'satirical', 'mag', 'charlie', 'hebdo', 'background']"
"New vid of Paris attack on #CharlieHebdo filmed by a witness. Gunmen on street shout ""Allahu Akbar"" http://t.co/TaZEDtGFlW @akhbar","['new', 'vid', 'of', 'paris', 'attack', 'on', 'charliehebdo', 'filmed', 'by', 'a', 'witness', 'gunmen', 'on', 'street', 'shout', 'allahu', 'akbar', 'akhbar']"
Update - AFP: an unnamed police source says the killing of the policewoman in #Paris on Thursday is linked to the #CharlieHebdo attack,"['update', 'afp', 'an', 'unnamed', 'police', 'source', 'says', 'the', 'killing', 'of', 'the', 'policewoman', 'in', 'paris', 'on', 'thursday', 'is', 'linked', 'to', 'the', 'charliehebdo', 'attack']"
"Charlie Hebdo attack was obviously carefully planned. 

... and than you leave your ID card in the getaway car? 
─► http://t.co/TzTp8KxRUo","['charlie', 'hebdo', 'attack', 'was', 'obviously', 'carefully', 'planned', 'and', 'than', 'you', 'leave', 'your', 'id', 'card', 'in', 'the', 'getaway', 'car']"
"12 dead in Paris attack on #CharlieHebdo office, five others critical http://t.co/2J4WQdJnTp http://t.co/qeRByqI6JU","['12', 'dead', 'in', 'paris', 'attack', 'on', 'charliehebdo', 'office', 'five', 'others', 'critical']"
"R.I.P. Ahmed Merabet, a French Muslim cop, first victim of #CharlieHebdo #ParisShooting http://t.co/CYQZhV8Sxc","['rip', 'ahmed', 'merabet', 'a', 'french', 'muslim', 'cop', 'first', 'victim', 'of', 'charliehebdo', 'parisshooting']"
"R.I.P. Ahmed Merabet, a French police officer, a Muslim, the first victim of #CharlieHebdo attack, http://t.co/bMzZgpXuL7 via @Ironyisfunny8","['rip', 'ahmed', 'merabet', 'a', 'french', 'police', 'officer', 'a', 'muslim', 'the', 'first', 'victim', 'of', 'charliehebdo', 'attack', 'via', 'ironyisfunny8']"
"Ten killed in shooting at headquarters of French satirical weekly Charlie Hebdo, says French media citing witnesses #c4news","['ten', 'killed', 'in', 'shooting', 'at', 'headquarters', 'of', 'french', 'satirical', 'weekly', 'charlie', 'hebdo', 'says', 'french', 'media', 'citing', 'witnesses', 'c4news']"
"Police seen in Longpont, a village near to a petrol station reportedly robbed by the two #CharlieHebdo suspects. http://t.co/cQsXx2q9PT","['police', 'seen', 'in', 'longpont', 'a', 'village', 'near', 'to', 'a', 'petrol', 'station', 'reportedly', 'robbed', 'by', 'the', 'two', 'charliehebdo', 'suspects']"
"MORE: Operation to detain massacre suspects unfolding in Dammartin-en-Goele, about 25 miles northeast of Paris: http://t.co/H1bHg5T7Ec","['more', 'operation', 'to', 'detain', 'massacre', 'suspects', 'unfolding', 'in', 'dammartinengoele', 'about', '25', 'miles', 'northeast', 'of', 'paris']"
DEVELOPING: 2 reported dead in second hostage situation at Paris grocery store http://t.co/F4K3C1lot7,"['developing', '2', 'reported', 'dead', 'in', 'second', 'hostage', 'situation', 'at', 'paris', 'grocery', 'store']"
#BREAKING - An armed man has reportedly taken a hostage at a kosher grocery store at Porte de #Vincennes #Paris http://t.co/uel0jveeWP,"['breaking', 'an', 'armed', 'man', 'has', 'reportedly', 'taken', 'a', 'hostage', 'at', 'a', 'kosher', 'grocery', 'store', 'at', 'porte', 'de', 'vincennes', 'paris']"
Feared at least 5 hostages are being held in Paris 'kosher' grocery http://t.co/zoafNwyEtr http://t.co/ntDatZ8Pp7,"['feared', 'at', 'least', '5', 'hostages', 'are', 'being', 'held', 'in', 'paris', 'kosher', 'grocery']"
"DEVELOPING: Police pursuing #CharlieHebdo shooting suspects, helicopters deployed - LIVE FEED: http://t.co/GRxHibEau2 http://t.co/pDlmmCax1B","['developing', 'police', 'pursuing', 'charliehebdo', 'shooting', 'suspects', 'helicopters', 'deployed', 'live', 'feed']"
"Breaking: At least 10 dead, 5 injured after tO gunman open fire in offices of Charlie  Hebdo,satirical mag that published Mohammed cartoons","['breaking', 'at', 'least', '10', 'dead', '5', 'injured', 'after', 'to', 'gunman', 'open', 'fire', 'in', 'offices', 'of', 'charlie', 'hebdosatirical', 'mag', 'that', 'published', 'mohammed', 'cartoons']"
BREAKING UPDATE - FRANCE: Police order all shops closed in famed Jewish neighborhood in central Paris following attacks.,"['breaking', 'update', 'france', 'police', 'order', 'all', 'shops', 'closed', 'in', 'famed', 'jewish', 'neighborhood', 'in', 'central', 'paris', 'following', 'attacks']"
Police vehicles chase #CharlieHebdo suspects on French motorway http://t.co/k3G8Y2jdE8 http://t.co/MBUxnx3KRv,"['police', 'vehicles', 'chase', 'charliehebdo', 'suspects', 'on', 'french', 'motorway']"
French police publishes photos of suspect in yesterday's Montrouge shooting. Maybe the same persons in Kosher market http://t.co/j5nQIl4Ytu,"['french', 'police', 'publishes', 'photos', 'of', 'suspect', 'in', 'yesterdays', 'montrouge', 'shooting', 'maybe', 'the', 'same', 'persons', 'in', 'kosher', 'market']"
"Unconfirmed reports that #CharlieHebdo attackers shouted ""The Prophet is avenged"" and used a rocket launcher. This is next level ****.","['unconfirmed', 'reports', 'that', 'charliehebdo', 'attackers', 'shouted', 'the', 'prophet', 'is', 'avenged', 'and', 'used', 'a', 'rocket', 'launcher', 'this', 'is', 'next', 'level']"
Banksy’s take on #CharlieHebdo http://t.co/FuqO8rAVcP,"['banksys', 'take', 'on', 'charliehebdo']"
"Fact that the Gunmen were shouting ""Allah Hu Akbar"" while shooting rules out any connection with the Religion of peace. #CharlieHebdo","['fact', 'that', 'the', 'gunmen', 'were', 'shouting', 'allah', 'hu', 'akbar', 'while', 'shooting', 'rules', 'out', 'any', 'connection', 'with', 'the', 'religion', 'of', 'peace', 'charliehebdo']"
MORE: Police official: Hostage-taker at Paris market appears linked to newspaper attack suspects: http://t.co/RHLq7ZcHkE,"['more', 'police', 'official', 'hostagetaker', 'at', 'paris', 'market', 'appears', 'linked', 'to', 'newspaper', 'attack', 'suspects']"
"Operation underway in the Dammartin-en-Goele area, as police hunt Paris shooting suspects, French interior minister tells CNN affiliate.","['operation', 'underway', 'in', 'the', 'dammartinengoele', 'area', 'as', 'police', 'hunt', 'paris', 'shooting', 'suspects', 'french', 'interior', 'minister', 'tells', 'cnn', 'affiliate']"
Update - police say gunman in #Paris grocery threatens to kill hostages if police storm suspected #CharlieHebdo gunmen in Dammartin-en-Goele,"['update', 'police', 'say', 'gunman', 'in', 'paris', 'grocery', 'threatens', 'to', 'kill', 'hostages', 'if', 'police', 'storm', 'suspected', 'charliehebdo', 'gunmen', 'in', 'dammartinengoele']"
